City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Mount Gambier,AU,2021-11-24 15:56:42,-37.8333,140.7667,57.11,88,90,9.22
126,Goose Creek,US,2021-11-24 15:53:34,32.981,-80.0326,53.89,38,1,1.99
127,Tuktoyaktuk,CA,2021-11-24 15:56:42,69.4541,-133.0374,-22.0,69,1,9.22
128,Tiksi,RU,2021-11-24 15:56:43,71.6872,128.8694,-18.09,97,38,6.89
129,Haines Junction,CA,2021-11-24 15:56:43,60.7522,-137.5108,-4.05,77,100,1.14
130,Dhupgari,IN,2021-11-24 15:56:43,26.5858,89.0145,65.48,72,2,4.61
131,Arman,RU,2021-11-24 15:56:44,59.7,150.1667,11.89,76,27,9.31
132,Vardo,NO,2021-11-24 15:56:44,70.3705,31.1107,19.38,86,0,17.27
133,Airai,TL,2021-11-24 15:56:44,-8.9266,125.4092,62.6,93,58,0.65
134,Omboue,GA,2021-11-24 15:56:44,-1.5746,9.2618,78.6,82,91,6.26
135,East London,ZA,2021-11-24 15:56:45,-33.0153,27.9116,65.34,63,20,6.91
136,Itanhaem,BR,2021-11-24 15:55:02,-24.1831,-46.7889,84.25,64,51,8.43
137,Alofi,NU,2021-11-24 15:57:45,-19.0595,-169.9187,67.89,94,84,1.14
138,Rundu,NA,2021-11-24 15:57:45,-17.9333,19.7667,93.72,6,1,1.57
139,Padang,ID,2021-11-24 15:52:53,-0.9492,100.3543,77.05,74,98,2.75
140,Itarema,BR,2021-11-24 15:57:46,-2.9248,-39.9167,89.47,55,88,15.59
141,Castro,BR,2021-11-24 15:57:46,-24.7911,-50.0119,81.39,45,97,3.06
142,Sao Joao Da Barra,BR,2021-11-24 15:57:46,-21.6403,-41.0511,82.49,65,77,10.96
143,Petropavlovsk-Kamchatskiy,RU,2021-11-24 15:57:01,53.0452,158.6483,37.99,65,75,8.95
144,Kaitangata,NZ,2021-11-24 15:57:47,-46.2817,169.8464,46.89,82,98,4.09
145,Alora,ES,2021-11-24 15:57:47,36.8236,-4.7058,58.5,58,55,10.98
146,Yei,SS,2021-11-24 15:57:47,4.095,30.6779,76.08,52,37,2.84
147,Ulladulla,AU,2021-11-24 15:57:48,-35.35,150.4667,69.87,98,100,4.99
148,Aquiraz,BR,2021-11-24 15:57:48,-3.9014,-38.3911,92.21,55,66,11.86
149,Sao Borja,BR,2021-11-24 15:57:48,-28.6606,-56.0044,92.95,18,1,7.76
150,Saint George,US,2021-11-24 15:56:07,37.1041,-113.5841,45.25,43,0,5.01
151,Caibarien,CU,2021-11-24 15:57:49,22.5206,-79.4669,75.92,63,25,17.69
152,Varzelandia,BR,2021-11-24 15:57:49,-15.7014,-44.0275,87.12,37,22,8.72
153,Shubarshi,KZ,2021-11-24 15:57:49,48.5872,57.1869,24.4,94,100,13.94
154,Leo,BF,2021-11-24 15:57:49,11.1,-2.1,98.19,11,3,11.32
155,Bluff,NZ,2021-11-24 15:57:50,-46.6,168.3333,49.42,89,90,9.46
156,Laguna,US,2021-11-24 15:57:50,38.421,-121.4238,54.34,71,1,1.01
157,Tukrah,LY,2021-11-24 15:57:50,32.5341,20.5791,67.26,67,95,11.65
158,Kiama,AU,2021-11-24 15:57:51,-34.6833,150.8667,70.25,91,100,5.99
